trade_date,stock_name,return_pct,status,volume,volume_ref,notes
2025-02-03,한라캐스트,0.33,익절,1100,8200,샘플
2025-02-04,나노팀,2.10,익절,800,7500,거래량 절벽 후 익절
2025-02-06,종목A,1.20,익절,400,5100,
2025-02-07,종목B,-4.20,손절,3200,3100,
2025-02-11,종목C,3.50,익절,950,8800,
2025-02-14,종목D,-5.10,손절,4100,4000,
2025-02-18,종목E,0.80,익절,600,6200,
2025-02-20,종목F,4.20,익절,500,4800,
2025-02-21,종목G,-6.00,손절,2800,2750,
2025-03-02,아모레퍼시픽,-15.37,손절,9300,9000,대형 손절
2025-03-05,가온전선,-12.10,손절,7200,7100,
2025-03-06,종목H,1.10,익절,700,6800,절벽 패턴 후
2025-03-08,종목I,-8.20,손절,5500,5400,
2025-03-10,종목J,-3.50,손절,4800,4700,
2025-03-12,종목K,2.40,익절,900,7200,
2025-03-14,종목L,-7.80,손절,6100,6000,
2025-03-17,종목M,-4.40,손절,3900,3850,
2025-03-19,종목N,0.90,익절,550,5200,
2025-03-21,종목O,-5.60,손절,4400,4300,
2025-03-24,종목P,-2.10,손절,3600,3500,
